Date,COST,PYPL,EBAY,DIS,ATVI,AMZN
30/12/22,456.5,71.22,41.47,86.88,76.55,84
29/12/22,456.53,70.56,41.82,87.18,76.76,84.18
28/12/22,452.99,67.55,39.92,84.17,76.05,81.82
27/12/22,458.5,68.33,40.08,86.37,75.79,83.04
23/12/22,462.65,69.03,40.17,88.01,75.95,85.04517059
22/12/22,458.71,68.57,40.12,86.67,75.7,83.58867852
21/12/22,462.06,69.21,41.28,86.92,75.89,86.5615185
20/12/22,457.82,68.76,40.97,87.02,75.88,84.98531475
19/12/22,458.63,68.95,41.34,85.78,75.99,84.71596348
16/12/22,461.45,69.26,41,90.08,76.08,87.64889957
15/12/22,463.91,69.77,42.29,90.49,76.37,88.23748198
14/12/22,483.52,72.63,43.75,94.15,77.04,91.35996156
13/12/22,488.2,73.7,43.72,94.7,76.73,92.26777511
12/12/22,487.68,73.8,43.72,94.66,77.36,90.33243633
09/12/22,483.02,73.57,43.64,93.38,75.16,88.87594426
08/12/22,481.42,74.22,43.88,92.55,74.76,90.13291687
07/12/22,481.97,74.42,43.16,92.15,75.93,88.24745795
06/12/22,481.16,72.23,43.35,92.29,76.11,88.03796252
05/12/22,488.66,73.62,43.94,95.93,76.33,90.79133109
02/12/22,494.53,74.66,45.2,99.43,75.76,93.90383469
01/12/22,503.86,78.53,45.16,98.59,75.19,95.27054301
30/11/22,539.25,78.41,45.44,97.87,73.95,96.30804421
29/11/22,528.96,77.64,43.55910644,94.69,74.34,92.1979433
28/11/22,530.92,79.93,44.11640823,95.69,74.72,93.72426718
25/11/22,533.66,80.08,44.8229873,98.87,73.47,93.18556463
23/11/22,534.49,80.75,45.01207184,98.88,76.59,93.90383469
22/11/22,531.95,79.91,44.91255366,96.21,75.88,92.9760692
21/11/22,523.37,80.63,44.51448095,97.58,74.8,92.23784719
18/11/22,523.67,84.92,45.45990364,91.8,74.1,93.91381067
17/11/22,521.32,85.64,45.25091546,91.45,73.81,94.62210476
16/11/22,524.11,87.04,45.2708191,93.95,74.35,96.88665065
15/11/22,526.47,89.86,46.79344722,95.51,73.88,98.70227775
14/11/22,509.68,89.51,45.68879544,94.28,73.96,98.25335896
11/11/22,515.47,91.03,46.28590451,95.01,74.14,100.5478328
10/11/22,513.13,86.8,44.44481822,90.46,73.62,96.39782797
09/11/22,489.97,78.68,40.37452475,86.75,71.66,85.9330322
08/11/22,492.76,81.13,41.39956198,99.9,72,89.76380586
07/11/22,488.55,77.66,40.38447657,100.43,71.1,90.31248438
04/11/22,486.41,75.18,39.87693386,99.58,71.96,90.76140317
03/11/22,486.29,76.55,38.63295664,99.25,71.9,89.08543969
02/11/22,483.51,79.45,37.87661848,101.82,72.66,91.8986641
01/11/22,499.96,83.11,39.6181866,106,73.31,96.55744354
31/10/22,501.5,83.58,39.64804205,106.54,72.8,102.1938683
28/10/22,510.87,86.25,40.1257293,105.95,72.85,103.1615377
27/10/22,496.54,87.35,39.65799387,104.44,72.5,110.6933974
26/10/22,498.5463634,88.55,39.37934297,104.63,72.48,115.3821048
25/10/22,498.157069,89.24,38.7822339,104.36,72.5,120.3102355
24/10/22,496.0708504,83.32,38.49363119,101.72,72.51,119.5321096
21/10/22,477.3148464,83.94,38.22493211,102.04,72.71,119.0333109
20/10/22,463.77938,84.78,37.4387385,98.59,73.31,114.9730899
19/10/22,470.5770589,84.47,37.62782304,98.99,72.21,114.7935223
18/10/22,472.4137299,85.29,38.31449847,98.48,72.26,116.0804229
17/10/22,463.3301942,84.66,37.66763031,97.33,71.76,113.5165978
14/10/22,453.8274184,80.47,36.90134034,94.45,72.13,106.6431523
13/10/22,467.1432828,84.04,37.77710031,96.64,73.12,112.2596252
12/10/22,465.5361957,83.81,36.95109943,93.41,73.5,112.6287362
11/10/22,471.1659915,83.09,36.77196671,93.1,73.55,111.940394
10/10/22,465.4663224,84.52,37.3790276,95.16,73.75,113.3968861
07/10/22,467.3029933,90.17,37.36907578,97.16,73.35,114.2847477
06/10/22,481.6170485,94.42,38.70261936,100.04,73.83,120.0109563
05/10/22,479.4509746,93.83,38.93151117,100.8,74.11,120.6593945
04/10/22,485.2504628,92.79,38.48367937,101.44,75,120.7990581
03/10/22,476.8656606,87.18,37.04066579,97.13,74.36,115.6015762
30/09/22,471.4155392,86.07,36.63264126,94.33,74.34,112.7284959
29/09/22,478.113399,88.7,37.50840123,97.45,74.87,114.5241711
28/09/22,487.4065548,91.12,38.42396846,99.4,75.39,117.7264584
27/09/22,477.4346293,85.75,37.38897941,95.85,74.86,114.1351081
26/09/22,479.4310108,84.26,37.94628121,98.12,74.33,114.8733301
23/09/22,465.5561595,86.97,38.00599212,99.5,74.95,113.5066218
22/09/22,486.2885811,87.66,38.11546211,102.16,77.03,117.0281403
21/09/22,492.1779065,91.18,38.74242663,104.49,75.32,118.255185
20/09/22,498.6162367,91.63,39.70775296,107.57,75.04,121.8964152
19/09/22,505.6534814,95.03,41.15076654,109.17,75.94,124.3604805
16/09/22,503.2278779,94,41.79763469,108.25,76.02,123.2331956
15/09/22,502.5890359,96.4,42.45445466,110.77,76.83,125.9765882
14/09/22,507.0808942,97.66,42.3648883,112.5,76.6,128.2411341
13/09/22,509.3767329,95.01,42.5838283,111.76,76.76,126.5152907
12/09/22,538.5438662,97.65,45.30067455,116.39,78.13,136.1221528
09/09/22,535.6091854,96.23,44.8826982,115.18,78.51,132.9497934
08/09/22,528.1626825,96.17,44.03679369,112.33,77.39,129.5080827
07/09/22,528.6817417,94.97,44.44481822,112.69,77.72,129.1688996
06/09/22,517.9611732,91.615,42.83262374,110.09,76.84,125.8069966
02/09/22,518.1707933,91.13,43.89746824,111.2,77.53,127.2036329
01/09/22,528.2125921,92.66,44.55428822,112.53,78.55,127.512888
31/08/22,521.1553836,93.44,43.91737188,112.08,78.49,126.4654109
30/08/22,523.1916927,91.8,44.01639639,112.43,78.62,128.4207016
29/08/22,530.0991726,92.66,44.02629884,113.53,78.75,129.4781547
26/08/22,530.8577975,92.7,44.095616,114.07,78.63,130.4358481
25/08/22,549.773512,96.72,46.13552099,117.46,79.07,136.9501586
24/08/22,542.2371719,93.76,45.08586114,116.41,79.28,133.4785199
23/08/22,541.0892526,93.2,44.98683663,114.86,79.34,133.2989524
22/08/22,544.4831011,93.58,44.94722682,115.94,79.76,132.8999135
19/08/22,553.5267092,96.56,46.61083866,120.14,80.27,137.897876
18/08/22,559.9450756,99.86,48.06649901,122.67,80.44,141.9580971
17/08/22,555.3134706,99.42,48.09620636,122.81,80.53,141.7585776
16/08/22,552.0194411,102.08,49.01713434,124.96,80.92,144.4321384
15/08/22,544.7625945,101.51,48.20513333,124.26,80.73,142.8359827
12/08/22,536.2380456,101.1,48.95771963,121.57,80.79,143.2050937
11/08/22,531.23711,99.11,48.09620636,117.69,80.51,140.3020855
10/08/22,538.8433234,98.91,48.0268892,112.43,80.91,142.34716
09/08/22,534.8505605,94.48,47.53176663,108.13,80.59,137.4988371
08/08/22,540.9195601,96.26,47.14557103,109.11,81,139.0750408
05/08/22,539.6917855,95.32,46.81879013,106.63,80.49,140.4617011
04/08/22,542.2970634,96.98,47.40303477,108.12,80.66,142.2274483
03/08/22,546.0203148,97.92,49.98757458,109.02,80.59,139.1847765
02/08/22,542.4767377,89.63,47.95757204,104.71,79.32,133.837655
01/08/22,545.8206767,88.565,48.46259706,106.22,80.08,135.0646997
29/07/22,540.3206457,86.53,48.15562107,106.1,79.95,134.6257568
28/07/22,535.2099091,85.86,47.73971811,104.9,79.51,121.9861989
27/07/22,520.4913377,86.42,46.71976562,103.5,79.79,120.6793465
26/07/22,510.1474804,77.04,45.21459301,99.78,79.46,114.534147
25/07/22,527.2975559,81.65,46.10581363,102.69,79.65,120.848938
22/07/22,527.8755364,81.05,46.22464305,102.72,79.23,122.1258626
21/07/22,527.6164417,82.75,46.1949357,104.18,79.49,124.3305526
20/07/22,522.3747568,80.24,45.73942293,103.35,79.3,122.4750216
19/07/22,518.4185802,77.74,44.93732437,99.61,78.63,117.9259779
18/07/22,514.5022643,74.13,43.16478557,95.7,76.99,113.4866699
15/07/22,521.1291092,73.91,43.18459048,95.2,77.39,113.2771744
14/07/22,510.1574456,69.55,41.62000316,91.84,76.24,110.3641903
13/07/22,490.5061098,71.36,42.07551592,92.94,75.96,110.1347429
12/07/22,488.8618551,71.43,42.77858997,93.6,76.54,108.9575781
11/07/22,497.1628504,70.47,42.41219927,93.64,77.79,111.4814993
08/07/22,499.793658,73.43,42.71917526,95.86,78.13,115.2623931
07/07/22,493.2266041,75.04,43.39254196,97.43,78.61,116.050495
06/07/22,490.9346126,73.24,43.29351744,96.08,78.37,114.0553003
05/07/22,486.5598984,74.4,43.50146892,97.18,78.87,113.2272946
01/07/22,484.0686033,71.4,42.47161398,96.14,78.57,109.2967612
30/06/22,477.6111664,69.84,41.26351491,94.4,77.86,105.9548102
29/06/22,468.2040361,71.47,42.25376005,95.65,77.96,108.6582989
28/06/22,466.9783189,71.82,42.23395514,95.92,77.16,107.141951
27/06/22,480.072566,75.94,43.94707923,96.61,78.01,112.9479673
24/06/22,482.6834432,77.68,45.22449546,97.78,77.94,116.1801826
23/06/22,473.3460692,73.81,42.55083359,94.3,76.49,112.1698414
22/06/22,458.3584379,72.97,42.70927281,93.5,75.7,108.6882268
21/06/22,461.4974697,72.37,41.87746689,93.29,76.05,108.4188755
17/06/22,445.1346435,72.9,41.79824728,94.34,74.71,105.9647862
16/06/22,450.1869899,71.23,40.67927028,94.28,73.93,103.410937
15/06/22,457.1925118,75.83,43.08556596,95.88,75.35,107.4113023
14/06/22,453.2164048,72.46,42.16463798,94.22,74.64,102.0641807
13/06/22,450.6752838,73.72,42.51122378,95.71,74.76,103.420913
10/06/22,461.6967733,79.3,43.84805472,99.4,76.48,109.3865449
09/06/22,470.406341,84.11,46.2345455,103.3,76.78,115.8709274
08/06/22,466.3604777,87.51,47.21488819,107.34,77.63,120.8888419
07/06/22,470.1372811,88.59,47.04654652,107.79,78.03,122.704469
06/06/22,470.8248785,86.81,47.20498574,107.83,77.79,124.4901682
03/06/22,474.5917167,86.53,46.63064356,108.67,77.89,122.0560308
02/06/22,485.9121617,88.32,47.30401025,110.87,78.23,125.2094358
01/06/22,455.3987793,82.48,46.51181414,109.19,77.41,121.3916309
31/05/22,464.5966408,85.21,48.19523088,110.44,77.88,119.9206737
27/05/22,469.1208327,85.21,48.12622564,109.32,78.2,114.8698385
26/05/22,463.3709236,80.42,45.80962117,105.61,77.99,110.8106151
25/05/22,438.5775548,80.12,44.1732112,103.26,77.71,106.5184527
24/05/22,436.1859115,78.65,43.55216404,101.59,77.03,103.8498799
23/05/22,427.984568,81.18,44.54781107,105.83,77.2,107.2985738
20/05/22,414.9800076,80.54,43.68031663,102.42,77.4,107.3324921
19/05/22,421.4573748,81.28,43.98591126,103.14,77.74,107.0611456
18/05/22,427.9048465,77.18,44.30136379,104.3,77.92,106.8551418
17/05/22,488.7622033,79.75,46.25322628,108.64,78.54,115.0913051
16/05/22,492.8080665,77.65,44.44923216,105.18,78,110.5442566
13/05/22,495.5385259,78.83,45.98706321,107.33,77.74,112.7833638
12/05/22,484.4871409,74.29,45.50402653,104.31,77.38,106.673579
11/05/22,487.3770432,75.17,45.91805797,105.21,77.47,105.1188236
10/05/22,499.7139365,78.75,47.89949414,107.68,76.92,108.5974455
09/05/22,497.0930941,79.53,48.55997286,106.98,77.17,108.5276136
06/05/22,501.6073208,81.68,48.11636775,110.29,77.84,114.4967371
05/05/22,515.5187127,85.43,47.35731011,112.61,78.76,116.1273099
04/05/22,542.5343167,92.72,53.6466448,116.19,79.24,125.6259327
03/05/22,526.2412468,90.71,52.70028723,113.55,78.78,123.9549572
02/05/22,527.1082175,91.53,52.3946926,113.5,78.06,124.200865
29/04/22,529.8685724,87.93,51.18217196,111.63,75.6,123.98289
28/04/22,560.0431387,92.09,53.00588186,115.29,76.7,144.2490793
27/04/22,551.2679025,82.61,51.32018244,115.21,76.1,137.8350274
26/04/22,550.9495265,83.7,52.34540314,115.77,77.06,139.0560865
25/04/22,565.3261891,87.78,52.86787138,119.95,78.05,145.7230293
22/04/22,568.7984765,86.03,52.41440838,118.27,78.61,144.0031716
21/04/22,588.7367683,89.4,53.991671,121.66,78.9,147.9396905
20/04/22,600.4669311,94.9,54.08039202,124.57,78.91,153.6279904
19/04/22,591.2837757,103.66,54.38598665,131.9,79.03,157.7355973
18/04/22,579.1655923,100.58,53.78465528,127.77,79.06,152.4179049
14/04/22,587.3936199,102.31,53.38048173,130.47,78.93,151.3419962
13/04/22,588.0900672,105.17,54.3366972,132.35,79.1,155.167283
12/04/22,578.4094495,108.25,53.46920276,130.84,79.0701772,150.4252042
11/04/22,581.7026504,109.81,54.10996569,130.65,79.01053161,150.7589005
08/04/22,596.9946437,111.21,54.24797617,131.87,79.61692849,154.0893791
07/04/22,604.9639909,113.04,53.60721323,131.87,79.63681036,157.4053926
06/04/22,581.8220414,112.49,53.35090806,132.57,79.63681036,158.3745584
05/04/22,572.400104,117.65,55.59850729,135.62,79.90521553,163.6608265
04/04/22,572.2110683,121.86,55.92381771,138.58,80.25314817,167.9420154
01/04/22,572.6488352,116.67,56.88989106,137,80.34261656,163.1670159
31/03/22,572.9274141,115.65,56.44628595,137.16,79.63681036,162.6058674
30/03/22,573.5442675,118.49,58.51644313,140.96,79.88533367,165.9014301
29/03/22,567.0872059,121.18,59.3543639,142.38,80.27303004,168.9081884
28/03/22,562.3414149,116.17,57.94468543,138.72,79.53740103,168.584468
25/03/22,552.8896298,113.76,56.60401221,139.14,79.1298228,164.3776002
24/03/22,555.2774492,116.05,56.41671227,138.96,79.14970466,163.2563008
23/03/22,551.208207,114.65,54.80987598,137.64,78.60295337,163.0153811
22/03/22,556.5808006,117.87,54.95774435,140.11,78.83159482,164.4928227
21/03/22,552.7105433,114.65,54.53385502,138.62,78.37431193,161.1034858
18/03/22,558.5010053,118.77,55.22390742,140.3,78.29478447,160.8630649
17/03/22,549.9844495,112.16,54.87888122,139.47,78.42401659,156.8612033
16/03/22,540.6321569,107.92,53.991671,138.14,78.65265804,152.7361384
15/03/22,539.5675875,100.46,53.17346601,134.2,79.0403544,147.0124238
14/03/22,523.2806694,96.87,51.34975611,129.03,79.08011813,141.5121711
11/03/22,524.7432088,96.57,49.34860417,131.75,79.83562901,145.1748496
10/03/22,530.0163099,98.55,51.61591918,133.64,80.3227347,146.4647429
09/03/22,524.9720415,100.22,52.30597157,133.65,80.3525575,138.9443556
08/03/22,520.7038143,94.9,52.33542314,131.75,80.55137615,135.6876992
07/03/22,525.837626,93.61,53.84726991,133.5,80.07421139,137.1227429
04/03/22,522.8329533,99.91,54.64246205,140.72,80.94901345,145.2910697
03/03/22,530.3446351,101.34,53.42513088,145.57,81.01859997,147.5431456
02/03/22,525.3202651,106.61,54.0828824,147.34,80.99871811,151.6871648
01/03/22,520.2759967,106.51,53.35641057,145.7,80.40226216,150.7788525
28/02/22,516.6146736,111.93,53.59202305,148.46,81.01859997,153.1940356
25/02/22,514.8636061,110.94,53.60184024,149.53,80.95895438,153.4189938
24/02/22,503.0140523,105.02,54.42648394,149.4,80.53149428,150.9943335
23/02/22,492.746429,100.72,53.59202305,145.87,80.23326631,144.4790255
22/02/22,499.6313082,103.17,54.14178552,148.09,80.7501948,149.8366218
18/02/22,510.0680688,103.65,54.44611831,151.36,80.57125801,152.2348457
17/02/22,512.3961927,105.2,54.74063392,152.95,80.49173055,154.2809178
16/02/22,509.7994391,110.54,56.59608223,156.35,80.97883624,157.7206333
